"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.307812500E4,2.169518588E-1
1.310156250E4,7.616481356E-2
1.312500000E4,2.022678062E-1
1.314843750E4,4.707783794E-2
1.317187500E4,1.785529720E-1
1.319531250E4,1.712992404E-1
1.321875000E4,2.587535553E-2
1.324218750E4,5.630432686E-2
1.326562500E4,1.135477600E-1
1.328906250E4,1.967496395E-1
1.331250000E4,1.714938661E-1
1.333593750E4,1.925446151E-1
1.335937500E4,1.616969510E-1
1.338281250E4,8.952185919E-2
1.340625000E4,1.299058161E-1
1.342968750E4,6.907121303E-2
1.345312500E4,5.566803375E-2
1.347656250E4,1.161809900E-1
1.350000000E4,9.170182687E-2
1.352343750E4,1.538724634E-1
1.354687500E4,1.215803070E-1
1.357031250E4,1.180309092E-1
1.359375000E4,1.268316180E-1
1.361718750E4,9.442419555E-2
1.364062500E4,1.406267538E-1
1.366406250E4,1.308931607E-1
1.368750000E4,1.458307836E-1
1.371093750E4,1.360435994E-1
1.373437500E4,1.639594016E-1
1.375781250E4,1.496267752E-1
1.378125000E4,9.593417920E-2
1.380468750E4,8.408342098E-2
1.382812500E4,1.221929017E-1
1.385156250E4,1.212985341E-1
1.387500000E4,5.893794607E-2
1.389843750E4,8.631489439E-2
1.392187500E4,1.789020943E-1
1.394531250E4,1.042737459E-1
1.396875000E4,9.888835208E-2
1.399218750E4,1.118776405E-1
1.401562500E4,6.615154578E-2
1.403906250E4,1.159721191E-1
1.406250000E4,1.398066882E-1
1.408593750E4,3.414729288E-2
1.410937500E4,1.872753142E-1
1.413281250E4,1.299252023E-1
1.415625000E4,1.750699673E-1
1.417968750E4,1.118842515E-1
1.420312500E4,1.831081315E-1
1.422656250E4,4.042889702E-2
1.425000000E4,1.464467707E-1
1.427343750E4,1.623339532E-1
1.429687500E4,1.105650071E-1
1.432031250E4,5.532348599E-2
1.434375000E4,1.256671673E-1
1.436718750E4,8.947546545E-2
1.439062500E4,3.207424724E-2
1.441406250E4,5.270691481E-2
1.443750000E4,5.343546576E-2
1.446093750E4,1.183158769E-1
1.448437500E4,2.081831474E-2
1.450781250E4,8.706862107E-2
1.453125000E4,4.722068041E-2
1.455468750E4,9.187635260E-2
1.457812500E4,7.606235982E-2
1.460156250E4,6.678349300E-2
1.462500000E4,1.333365462E-1
1.464843750E4,4.506697445E-2
1.467187500E4,5.564752358E-2
1.469531250E4,7.866531334E-2
1.471875000E4,2.970469240E-2
1.474218750E4,6.026468905E-2
1.476562500E4,9.138279145E-2
1.478906250E4,7.719920065E-2
1.481250000E4,1.341605318E-1
1.483593750E4,1.887872317E-1
1.485937500E4,2.152433241E-1
1.488281250E4,4.218897834E-2
1.490625000E4,8.160155061E-2
1.492968750E4,4.273911290E-2
1.495312500E4,1.895705524E-1
1.497656250E4,1.192746807E-1
1.500000000E4,1.539971115E-1
1.502343750E4,1.342234535E-1
1.504687500E4,1.464095282E-1
1.507031250E4,2.817001344E-1
1.509375000E4,2.926786935E-2
1.511718750E4,1.932674799E-1
1.514062500E4,1.241081610E-1
1.516406250E4,1.797340616E-1
1.518750000E4,6.721422374E-2
1.521093750E4,1.366369756E-1
1.523437500E4,8.265124090E-2
1.525781250E4,1.087327446E-1
1.528125000E4,2.022681749E-1
1.530468750E4,9.249248702E-2
1.532812500E4,9.192768208E-2
1.535156250E4,4.415965133E-2
1.537500000E4,1.223460145E-1
1.539843750E4,2.212057109E-1
1.542187500E4,1.073899423E-1
1.544531250E4,1.314620798E-1
1.546875000E4,1.497812667E-1
1.549218750E4,2.745521790E-1
1.551562500E4,8.603533716E-2
1.553906250E4,1.798795730E-1
1.556250000E4,3.341890566E-1
1.558593750E4,9.872835633E-2
1.560937500E4,2.620149047E-1
1.563281250E4,5.920782165E-2
1.565625000E4,4.989265298E-2
1.567968750E4,1.100292415E-1
1.570312500E4,1.293525829E-1
1.572656250E4,1.194008748E-1
1.575000000E4,6.893743025E-2
1.577343750E4,1.259807319E-1
1.579687500E4,6.381500485E-2
1.582031250E4,1.126746291E-1
1.584375000E4,8.674469800E-2
1.586718750E4,9.032662391E-2
1.589062500E4,2.169130445E-1
1.591406250E4,9.438471917E-2
1.593750000E4,1.329080077E-1
1.596093750E4,1.743276945E-1
1.598437500E4,1.089992923E-1
1.600781250E4,2.628641931E-1
1.603125000E4,1.519245382E-1
1.605468750E4,1.951068182E-1
1.607812500E4,1.081177404E-1
1.610156250E4,2.982327659E-1
1.612500000E4,1.076483358E-1
1.614843750E4,1.936497929E-1
1.617187500E4,6.329031587E-2
1.619531250E4,9.031898611E-2
1.621875000E4,2.632315478E-1
1.624218750E4,3.892359989E-2
1.626562500E4,2.062164472E-1
1.628906250E4,2.163715663E-1
1.631250000E4,2.810706996E-1
1.633593750E4,2.359091915E-1
1.635937500E4,3.521207280E-1
1.638281250E4,2.052646161E-2
1.640625000E4,1.570411109E-1
1.642968750E4,1.195593872E-1
1.645312500E4,5.960652443E-2
1.647656250E4,1.749447127E-1
1.650000000E4,2.032157646E-1
1.652343750E4,3.749149484E-1
1.654687500E4,1.578876747E-1
1.657031250E4,1.895848129E-1
1.659375000E4,3.140727959E-1
1.661718750E4,1.193458939E-1
1.664062500E4,3.655442693E-1
1.666406250E4,3.631584451E-1
1.668750000E4,6.531547289E-1
1.671093750E4,6.445754325E-1
1.673437500E4,4.114657109E-1
1.675781250E4,2.903505726E-1
1.678125000E4,1.409857057E-1
1.680468750E4,1.960426980E-1
1.682812500E4,4.047505405E-1
