Opponent,0,1,2
Opponent8,1.0,0.0,0.0
Opponent80,0.0,0.0,1.0
Opponent81,1.0,0.0,0.0
Opponent82,1.0,0.0,0.0
Opponent83,1.0,0.0,0.0
Opponent84,1.0,0.0,0.0
Opponent85,0.0,0.0,1.0
Opponent86,0.0,0.0,1.0
Opponent87,0.0,0.0,1.0
Opponent88,0.0,0.0,1.0
Opponent89,0.0,1.0,0.0
Opponent9,1.0,0.0,0.0
Opponent90,1.0,0.0,0.0
Opponent91,1.0,0.0,0.0
Opponent92,0.0,1.0,0.0
Opponent93,0.0,0.0,1.0
Opponent94,0.0,0.0,1.0
Opponent95,1.0,0.0,0.0
Opponent96,1.0,0.0,0.0
Opponent97,0.0,1.0,0.0
Opponent98,1.0,0.0,0.0
Opponent99,1.0,0.0,0.0
