year,id,name,branch,genre,cityname,area,location,path,lng,lat,pricelevel,star,taste,environment,service,comments,tags,dishs,groupon,delivery,open_year,survival
2021,21,绝味鸭脖,海阳路店,小吃快餐,上海,浦东新区,海阳路435号,距地铁6号线灵岩南路站3号口步行920m,121.488149,31.156598,50to100,3.8,3.7,3.8,3.8,45,免费wifi_干净卫生_沿街餐厅_人均30以内_有WIFI,藤椒鸭食管_3|招牌鱿鱼_1|藤椒鸭脖_1|招牌凤爪_1|五香鸭掌_1|招牌海带结_3|黑鸭翅中_7|酸辣藕片_1|招牌鸭舌_2|黑鸭鸭掌_2|黑鸭鸭头_8|招牌鸭头_1|黑鸭豆干_3|招牌鸭肠_2|,0,1,2016,1
2021,22,长颈鹿餐厅,,小吃快餐,上海,浦东新区,南6公路178号上海野生动物园内,距俄罗斯国家大马戏步行580m,121.718387,31.054142,50to100,3.3,3.2,3.3,3.3,80,有舞台表演_有表演_人均50以内_干净卫生_学生党吃饭,奥尔良烤鸡翅_4|农家蛋饺煲_7|小笼包_10|红烧牛肉面_4|三黄鸡_2|杨梅汁_4|牛肉饭_3|卤肉饭_4|儿童餐_5|奥尔良鸡腿套餐_11|白斩鸡_2|番茄牛腩面_4|鸡腿饭_3|,0,0,2015,1
2021,23,鮮而純面馆,,小吃快餐,上海,浦东新区,机场路上海浦东国际机场T1航站楼禁区内国内出发3层,,121.79681399999998,31.153233,50to100,2.9,2.9,3,3,249,干净卫生_牛肉面_T3航站楼_可刷卡_楼宇餐厅,韩式石锅拌饭_5|炒粉丝_1|八宝辣酱拌面_4|三杯鸡炒面_4|牛肉套餐_19|年糕玉米牛肉粒_1|红烧牛肉汤面_12|兰州拉面_3|雪里红肉丝套餐_9|红烧肉拌饭_6|八宝辣酱饭_3|红烧牛肉面_43|三杯鸡拌面_1|,0,0,2008,1
2021,24,东北乡村饺子王俺家乡村菜,东方路店,小吃快餐,上海,浦东新区,东方路3062号,距地铁6号线临沂新村站1号口步行200m,121.513814,31.196795,50to100,3.7,3.6,3.7,3.7,114,中式早餐_有宝宝椅_牛肉面_腊八_沿街餐厅,韭菜鸡蛋虾仁水饺_4|孜然三鲜_5|手工水饺_17|火爆大头菜_4|溜肉段_3|口水鸡_2|鱼香小滑肉_2|拔丝地瓜_8|韭菜盒子_6|香酥鸡_2|韭菜鸡肉虾仁陷_2|西兰花炒土豆_1|蚂蚁上树_1|朝鲜辣白菜_1|小公鸡焖东北宽粉_1|锅包肉_22|东北冷面_2|麻酱拉皮_1|鱼香肉丝_1|乡村四喜丸子_1|小炒肉_2|番茄鸡蛋面_1|乡村大拌菜_1|东北大拉皮_17|凉拌土豆丝_1|砂锅小鸡炖蘑菇_1|紫菜蛋花汤_1|孜然红肠_1|熏酱拼盘_1|酱大骨一_2|酸菜鱼青鱼_5|扬州炒饭_1|拌干豆腐丝_1|老虎菜_2|糖醋排骨_1|荠菜猪肉陷_1|香葱拌东北木耳_1|香葱煎蛋_2|小米粥_2|手抓饼_1|草帽饼_1|糖醋萝卜丝_1|,0,0,2016,1
2021,25,赵氏咕咕蒸鸡,联华超市店,小吃快餐,上海,虹口区,车站南路330弄2、6号E101-10,位于东明生活广场内,121.469414,31.296823,50to100,3.9,3.8,3.8,3.8,24,有无烟区_沿街餐厅_免费wifi_人均50以内_有WIFI,药膳滋补蒸鸡_2|豪格精彩小麦啤酒_2|康尼森IPA淡愛爾啤酒_5|药膳蒸鸡爪_2|豪格修士黑啤酒_4|香辣风味滋补蒸鸡_13|,0,0,2017,1
2021,26,正宗野鸭专卖老店,,小吃快餐,上海,金山区,南亭公路6113号,,121.324036,30.88542,50to100,3.7,3.7,3.5,3.7,45,双人包厢_10人以下包厢_10人－20人包厢_有10人以上大桌,门腔_3|榨菜肉丝汤_1|鸭肠_3|鸭肝_3|清炒枸杞头_1|水面筋塞肉烧黄瓜_1|白斩鸡_4|,0,0,2015,1
2021,27,鰻福,,小吃快餐,上海,长宁区,虹桥路1438号高岛屋百货B1楼,距地铁伊犁路站3号口步行470m,121.398442,31.199234000000004,50to100,3.7,3.8,3.7,3.8,90,美团充电宝,炖牛舌_7|鳗鱼肝_11|活鳗鱼_2|鲜榨橙汁_2|味增汤_47|牛小排定食_14|小菜_14|鳗鱼饭（大）_64|关东煮_25|三文鱼刺身_1|鳗鱼丼_150|泡菜_3|鸡蛋卷_56|盐烤鳗鱼_9|牛丼_4|,0,0,2019,1
2021,28,百香羊肉轩,,小吃快餐,上海,闵行区,七宝老街南大街37号,距地铁9号线七宝站出入口步行960m,121.350548,31.153544,50to100,3.4,3.6,3.6,3.6,55,羊肉好吃_人均30以内_人均50以内_沿街餐厅_学生党吃饭,羊肉短秤_4|白切羊肉_21|老羊肉嚼不动_3|,0,0,2016,1
2021,29,蜀签成都串串香,新华联店,小吃快餐,上海,闵行区,申滨路473号新华联购物中心南区B1层B1-16,距虹桥万科中心步行1.1km,121.304609,31.202929,50to100,4.2,4.1,4.2,4.2,430,除夕_无辣不欢_周末午餐_元旦,肺片_10|千页豆腐_7|蟹肉棒_4|鸡肉串_3|平菇_3|点个手撕鸡_2|微辣锅底_2|串串香_99|毛肚_17|乌梅汁_7|鸭血豆腐_6|香菇_4|香辣冒牛蛙_3|肥肠_3|芝士年糕_2|四川担担面_50|红糖糍耙_11|包心贡丸_7|红糖冰粉_6|竹笋_3|豆筋爱上鹌鹑蛋_3|干拌抄手_2|鲜卤嫩鸭血_2|麻辣猪脑_62|夺命鸡爪_25|金针菇_7|花菜_4|鸭舌串_3|秘制五花肉_2|沸腾龙利鱼_24|蒜香掌中宝_20|牛百叶_5|蛋饺_4|芸豆蹄花汤_3|红糖糍粑_3|脆脆鸡肉炸串_2|古法毛血旺_32|小土豆_27|棒棒鸡丝_3|生菜_3|最满意基围虾_2|肥牛_2|莲藕_3|油碟_3|椰浆冰粉_46|豌杂面_3|冒牛杂_3|娃娃菜_29|无骨鸭掌_12|干碟_5|魔芋丝_3|特色香菜牛肉_3|麻辣牛蛙_2|黄喉_2|重庆酥肉_25|午餐肉_8|唯怡豆奶_3|牛板筋_4|米客米酒_2|鱼豆腐_2|,0,0,2016,1
2021,30,肯德基,虹桥机场T2店,小吃快餐,上海,闵行区,华漕镇虹桥国际机场2号航站楼禁区外到达区域1层,距地铁2号线虹桥2号航站楼站出口步行350m,121.321865,31.196231,50to100,4,3.9,4,3.9,401,楼宇餐厅_西式早餐_人气小吃_发发呆,奥尔良烤翅_34|甜筒_17|喝完的豆浆_2|京酱肉丝卷饼_1|香辣鸡腿堡_43|薯条_43|油条_2|玉米棒_1|现磨咖啡_16|藤椒嫩笋双层鸡腿堡_6|香菇鸡肉粥_1|香辣雞翅_32|帕尼尼_14|太阳蛋_1|鸡肉披萨_10|原味圣代（北美蓝莓酱）_5|吮指原味鸡_58|黄金鸡块_17|九珍果汁_2|小食四拼_2|新奥尔良烤鸡腿堡_5|芝士猪柳蛋帕尼尼_5|土豆泥_18|皮蛋瘦肉粥_8|老北京鸡肉卷_2|蛋挞_10|热辣香骨鸡_1|,0,0,2017,1
