"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.085156250E4,9.395093131E-2
1.087500000E4,1.420186518E-1
1.089843750E4,9.359177366E-2
1.092187500E4,5.493919927E-2
1.094531250E4,5.978934696E-2
1.096875000E4,1.064449483E-1
1.099218750E4,7.985801275E-2
1.101562500E4,1.535504954E-1
1.103906250E4,1.257981085E-1
1.106250000E4,1.171340881E-1
1.108593750E4,1.358575423E-1
1.110937500E4,1.404400180E-1
1.113281250E4,1.198667257E-1
1.115625000E4,8.976850909E-2
1.117968750E4,1.233486897E-1
1.120312500E4,7.944862209E-2
1.122656250E4,5.357437938E-2
1.125000000E4,2.057773391E-2
1.127343750E4,2.267085647E-2
1.129687500E4,5.095825163E-2
1.132031250E4,4.225114863E-3
1.134375000E4,8.758250220E-2
1.136718750E4,5.952635078E-2
1.139062500E4,1.089930846E-1
1.141406250E4,8.309172989E-2
1.143750000E4,4.339735654E-2
1.146093750E4,4.824770130E-2
1.148437500E4,5.425504357E-2
1.150781250E4,3.328995447E-2
1.153125000E4,5.790278855E-2
1.155468750E4,7.734971926E-2
1.157812500E4,6.134434633E-2
1.160156250E4,4.120215974E-2
1.162500000E4,2.988962371E-2
1.164843750E4,2.169516774E-2
1.167187500E4,7.038616902E-2
1.169531250E4,1.876478747E-2
1.171875000E4,5.108893304E-2
1.174218750E4,2.054339102E-2
1.176562500E4,2.850318399E-2
1.178906250E4,3.864298249E-2
1.181250000E4,4.735018405E-2
1.183593750E4,5.504329827E-2
1.185937500E4,3.317256594E-2
1.188281250E4,6.453838622E-3
1.190625000E4,2.900042512E-2
1.192968750E4,5.344059527E-2
1.195312500E4,3.142700518E-2
1.197656250E4,5.387607737E-2
1.200000000E4,2.858587370E-2
1.202343750E4,2.271428446E-2
1.204687500E4,5.701095777E-2
1.207031250E4,1.983425333E-2
1.209375000E4,4.715809958E-2
1.211718750E4,2.347512120E-2
1.214062500E4,5.344021547E-2
1.216406250E4,2.059196545E-2
1.218750000E4,1.034824487E-1
1.221093750E4,5.502744386E-2
1.223437500E4,8.636873725E-2
1.225781250E4,5.999128390E-2
1.228125000E4,5.795296578E-2
1.230468750E4,8.018960965E-2
1.232812500E4,7.632763125E-2
1.235156250E4,4.748912981E-2
1.237500000E4,6.800898752E-2
1.239843750E4,3.213849364E-2
1.242187500E4,6.560298484E-2
1.244531250E4,2.388157334E-2
1.246875000E4,1.562269961E-2
1.249218750E4,1.106991634E-2
1.251562500E4,2.377573337E-2
1.253906250E4,4.805006956E-2
1.256250000E4,4.184204719E-2
1.258593750E4,3.469751782E-2
1.260937500E4,5.267898971E-2
1.263281250E4,4.695082806E-2
1.265625000E4,5.160799528E-2
1.267968750E4,5.540202810E-2
1.270312500E4,6.240382250E-2
1.272656250E4,5.033168754E-2
1.275000000E4,7.234926751E-2
1.277343750E4,6.450146124E-2
1.279687500E4,6.336320488E-2
1.282031250E4,3.055071761E-2
1.284375000E4,1.257035750E-2
1.286718750E4,2.023030342E-2
1.289062500E4,1.839273068E-2
1.291406250E4,1.439739924E-2
1.293750000E4,1.476716851E-2
1.296093750E4,2.393607580E-2
1.298437500E4,2.957486172E-2
1.300781250E4,3.805024079E-2
1.303125000E4,6.530772028E-2
1.305468750E4,4.370524640E-2
1.307812500E4,3.324388686E-2
1.310156250E4,3.489214259E-2
1.312500000E4,4.198332575E-2
1.314843750E4,1.768877481E-2
1.317187500E4,2.526180128E-2
1.319531250E4,2.389102427E-2
1.321875000E4,2.988336983E-2
1.324218750E4,1.719531802E-3
1.326562500E4,9.282126053E-3
1.328906250E4,2.690910520E-2
1.331250000E4,2.817389909E-2
1.333593750E4,4.452373428E-2
1.335937500E4,3.567035688E-2
1.338281250E4,2.013198375E-2
1.340625000E4,2.063668751E-2
1.342968750E4,4.806873220E-2
1.345312500E4,2.909818233E-2
1.347656250E4,3.942670108E-2
1.350000000E4,4.927435378E-2
1.352343750E4,4.488137269E-2
1.354687500E4,4.406960309E-2
1.357031250E4,4.676007970E-2
1.359375000E4,6.947457214E-3
1.361718750E4,3.703194347E-3
1.364062500E4,2.149524354E-2
1.366406250E4,3.454713646E-2
1.368750000E4,2.366407517E-2
1.371093750E4,1.129551663E-2
1.373437500E4,3.117615934E-2
1.375781250E4,3.130356793E-2
1.378125000E4,4.033736412E-2
1.380468750E4,2.860883501E-2
1.382812500E4,1.731001548E-2
1.385156250E4,2.254760598E-2
1.387500000E4,6.682161471E-2
1.389843750E4,1.341246055E-2
1.392187500E4,3.039781859E-2
1.394531250E4,4.101929933E-2
1.396875000E4,3.137608639E-2
1.399218750E4,1.483349609E-2
1.401562500E4,1.012335201E-2
1.403906250E4,2.895219797E-2
1.406250000E4,3.157633892E-2
1.408593750E4,1.308027787E-2
1.410937500E4,1.601145414E-2
1.413281250E4,3.126980229E-2
1.415625000E4,1.465032573E-2
1.417968750E4,3.347442282E-2
1.420312500E4,3.240113454E-2
1.422656250E4,6.679522332E-2
1.425000000E4,9.491160159E-2
1.427343750E4,7.686947764E-2
1.429687500E4,9.383608949E-2
1.432031250E4,6.868438623E-2
1.434375000E4,5.913082508E-2
1.436718750E4,8.673631932E-3
1.439062500E4,2.489326591E-2
1.441406250E4,2.752669956E-2
1.443750000E4,4.419211985E-2
1.446093750E4,1.618462325E-2
1.448437500E4,4.648757086E-2
1.450781250E4,2.831182152E-2
1.453125000E4,1.072145681E-2
1.455468750E4,3.696009178E-2
1.457812500E4,5.669646893E-2
1.460156250E4,5.527322786E-3
1.462500000E4,3.468145721E-2
1.464843750E4,3.922161069E-3
1.467187500E4,2.753568295E-2
1.469531250E4,4.152548496E-2
1.471875000E4,1.927292528E-2
1.474218750E4,4.436344128E-2
1.476562500E4,1.610336406E-2
1.478906250E4,2.225373150E-2
1.481250000E4,2.039373251E-2
1.483593750E4,4.505096856E-2
1.485937500E4,4.777851850E-2
1.488281250E4,2.904633866E-2
1.490625000E4,1.752030371E-2
1.492968750E4,2.247568184E-2
1.495312500E4,1.410891533E-2
1.497656250E4,3.892259722E-2
1.500000000E4,3.392384335E-2
1.502343750E4,1.539150082E-2
1.504687500E4,1.051101451E-2
1.507031250E4,2.583124333E-2
1.509375000E4,2.317156807E-2
1.511718750E4,4.357236523E-2
1.514062500E4,3.088227516E-2
1.516406250E4,2.880133158E-2
1.518750000E4,1.833278632E-2
1.521093750E4,4.199005853E-2
1.523437500E4,1.865402440E-2
1.525781250E4,9.850429221E-3
1.528125000E4,1.641444708E-2
1.530468750E4,2.639305555E-2
1.532812500E4,1.157123493E-2
1.535156250E4,2.495492886E-2
