Nb of jobs 56 Nb of Machines 12
Solution
设备编号         零件编号         工序标号         开始时间         结束时间        
Z1           6            12           2820         2856        
Z1           22           9            2866         2888        
Z1           24           6            3053         3083        
Z1           24           8            3199         3213        
Z1           24           9            3213         3225        
Z1           16           7            3564         3576        
Z1           36           9            3583         3679        
Z1           25           7            3804         3827        
Z1           15           7            3827         3839        
Z2           5            6            267          331         
Z2           23           6            656          686         
Z2           53           7            793          829         
Z2           6            7            1253         1265        
Z2           28           6            1324         1376        
Z2           21           8            1391         1472        
Z2           32           6            1472         1550        
Z2           28           8            1558         1654        
Z2           9            7            1674         1686        
Z2           5            12           1774         1810        
Z2           27           8            1810         1906        
Z2           29           6            1920         1972        
Z2           20           4            2015         2054        
Z2           35           9            2098         2194        
Z2           55           9            2194         2482        
Z2           54           4            2482         2710        
Z2           6            17           2894         2900        
Z2           20           7            3111         3135        
Z2           56           9            3135         3423        
Z2           20           9            3423         3447        
Z2           12           7            3447         3459        
Z2           54           7            3666         3702        
Z2           25           6            3781         3804        
